,noFacture,dateFacture,pays
682,536416.0,2010-12-01 11:58:00,United Kingdom
688,536420.0,2010-12-01 12:03:00,United Kingdom
702,536423.0,2010-12-01 12:08:00,United Kingdom
711,536425.0,2010-12-01 12:08:00,United Kingdom
728,536437.0,2010-12-01 12:12:00,United Kingdom
734,536446.0,2010-12-01 12:15:00,United Kingdom
766,536460.0,2010-12-01 12:22:00,United Kingdom
780,536463.0,2010-12-01 12:22:00,United Kingdom
781,536464.0,2010-12-01 12:23:00,United Kingdom
866,536466.0,2010-12-01 12:23:00,United Kingdom
868,536477.0,2010-12-01 12:27:00,United Kingdom
882,536488.0,2010-12-01 12:31:00,United Kingdom
917,536500.0,2010-12-01 12:35:00,United Kingdom
932,536502.0,2010-12-01 12:36:00,United Kingdom
937,536508.0,2010-12-01 12:38:00,United Kingdom
940,536514.0,2010-12-01 12:40:00,United Kingdom
945,536520.0,2010-12-01 12:43:00,United Kingdom
1016,536521.0,2010-12-01 12:48:00,United Kingdom
1017,536522.0,2010-12-01 12:49:00,United Kingdom
1071,536523.0,2010-12-01 12:50:00,United Kingdom
1083,536524.0,2010-12-01 12:51:00,United Kingdom
1087,536525.0,2010-12-01 12:54:00,United Kingdom
1100,536526.0,2010-12-01 12:58:00,United Kingdom
1109,536527.0,2010-12-01 13:04:00,Germany
1124,536528.0,2010-12-01 13:17:00,United Kingdom
1181,536529.0,2010-12-01 13:20:00,United Kingdom
1190,536530.0,2010-12-01 13:21:00,United Kingdom
1213,536531.0,2010-12-01 13:23:00,United Kingdom
1236,536532.0,2010-12-01 13:24:00,Norway
1309,536533.0,2010-12-01 13:31:00,United Kingdom
1315,536534.0,2010-12-01 13:33:00,United Kingdom
1320,536535.0,2010-12-01 13:38:00,United Kingdom
1332,536536.0,2010-12-01 13:45:00,United Kingdom
1335,536537.0,2010-12-01 13:51:00,United Kingdom
1346,536538.0,2010-12-01 13:54:00,United Kingdom
1377,536539.0,2010-12-01 14:03:00,United Kingdom
1404,536540.0,2010-12-01 14:05:00,EIRE
1424,536541.0,2010-12-01 14:05:00,EIRE
1425,536542.0,2010-12-01 14:11:00,United Kingdom
1443,536544.0,2010-12-01 14:32:00,United Kingdom
1989,536551.0,2010-12-01 14:34:00,United Kingdom
2027,536555.0,2010-12-01 14:37:00,United Kingdom
2029,536556.0,2010-12-01 14:38:00,United Kingdom
2037,536557.0,2010-12-01 14:41:00,United Kingdom
2102,536558.0,2010-12-01 14:48:00,United Kingdom
2103,536559.0,2010-12-01 14:54:00,United Kingdom
2112,536560.0,2010-12-01 15:00:00,United Kingdom
2125,536561.0,2010-12-01 15:06:00,United Kingdom
2140,536562.0,2010-12-01 15:08:00,United Kingdom
2158,536563.0,2010-12-01 15:08:00,United Kingdom
2167,536564.0,2010-12-01 15:08:00,United Kingdom
2169,536565.0,2010-12-01 15:15:00,United Kingdom
2171,536566.0,2010-12-01 15:21:00,United Kingdom
2177,536567.0,2010-12-01 15:27:00,United Kingdom
2184,536568.0,2010-12-01 15:28:00,United Kingdom
2185,536569.0,2010-12-01 15:35:00,United Kingdom
2252,536570.0,2010-12-01 15:35:00,United Kingdom
2257,536571.0,2010-12-01 15:37:00,United Kingdom
2275,536572.0,2010-12-01 15:40:00,United Kingdom
2296,536573.0,2010-12-01 15:45:00,United Kingdom
2300,536574.0,2010-12-01 15:46:00,United Kingdom
2301,536575.0,2010-12-01 16:01:00,United Kingdom
2309,536576.0,2010-12-01 16:11:00,United Kingdom
2325,536577.0,2010-12-01 16:13:00,United Kingdom
2329,536578.0,2010-12-01 16:15:00,United Kingdom
2337,536579.0,2010-12-01 16:16:00,United Kingdom
2339,536580.0,2010-12-01 16:17:00,United Kingdom
2345,536581.0,2010-12-01 16:19:00,United Kingdom
2346,536582.0,2010-12-01 16:21:00,United Kingdom
2363,536583.0,2010-12-01 16:21:00,United Kingdom
2364,536584.0,2010-12-01 16:22:00,United Kingdom
2365,536585.0,2010-12-01 16:24:00,United Kingdom
2366,536586.0,2010-12-01 16:25:00,United Kingdom
2373,536587.0,2010-12-01 16:33:00,United Kingdom
2395,536588.0,2010-12-01 16:49:00,United Kingdom
2407,536590.0,2010-12-01 16:52:00,United Kingdom
2421,536591.0,2010-12-01 16:57:00,United Kingdom
2461,536592.0,2010-12-01 17:06:00,United Kingdom
3053,536593.0,2010-12-01 17:15:00,United Kingdom
3058,536594.0,2010-12-01 17:22:00,United Kingdom
3063,536595.0,2010-12-01 17:24:00,United Kingdom
3074,536596.0,2010-12-01 17:29:00,United Kingdom
3080,536597.0,2010-12-01 17:35:00,United Kingdom
3108,536598.0,2010-12-02 07:48:00,United Kingdom
3112,536599.0,2010-12-02 07:49:00,United Kingdom
3118,536600.0,2010-12-02 08:32:00,United Kingdom
3130,536601.0,2010-12-02 08:33:00,United Kingdom
3132,536602.0,2010-12-02 08:34:00,United Kingdom
3144,536603.0,2010-12-02 08:40:00,United Kingdom
3146,536604.0,2010-12-02 08:43:00,United Kingdom
3155,536605.0,2010-12-02 08:52:00,United Kingdom
3171,536607.0,2010-12-02 09:29:00,United Kingdom
3189,536608.0,2010-12-02 09:37:00,United Kingdom
3192,536609.0,2010-12-02 09:41:00,United Kingdom
3208,536610.0,2010-12-02 09:42:00,United Kingdom
3210,536611.0,2010-12-02 09:43:00,United Kingdom
3224,536612.0,2010-12-02 09:44:00,United Kingdom
3239,536613.0,2010-12-02 09:44:00,United Kingdom
3256,536614.0,2010-12-02 09:44:00,United Kingdom
3258,536615.0,2010-12-02 10:09:00,United Kingdom
3270,536616.0,2010-12-02 10:10:00,United Kingdom
3271,536617.0,2010-12-02 10:17:00,United Kingdom
3282,536618.0,2010-12-02 10:17:00,United Kingdom
3303,536619.0,2010-12-02 10:18:00,United Kingdom
3305,536620.0,2010-12-02 10:27:00,United Kingdom
3328,536621.0,2010-12-02 10:35:00,United Kingdom
3339,536623.0,2010-12-02 10:39:00,United Kingdom
3387,536624.0,2010-12-02 10:45:00,United Kingdom
3409,536626.0,2010-12-02 10:46:00,United Kingdom
3411,536627.0,2010-12-02 10:53:00,United Kingdom
3425,536628.0,2010-12-02 10:54:00,United Kingdom
3441,536629.0,2010-12-02 10:55:00,United Kingdom
3443,536630.0,2010-12-02 10:56:00,United Kingdom
3459,536631.0,2010-12-02 10:58:00,United Kingdom
3461,536632.0,2010-12-02 11:02:00,United Kingdom
3482,536633.0,2010-12-02 11:20:00,United Kingdom
3500,536634.0,2010-12-02 11:21:00,United Kingdom
3514,536635.0,2010-12-02 11:22:00,United Kingdom
3534,536636.0,2010-12-02 11:23:00,United Kingdom
3535,536637.0,2010-12-02 11:35:00,United Kingdom
3602,536638.0,2010-12-02 11:41:00,United Kingdom
3665,536639.0,2010-12-02 11:45:00,United Kingdom
3681,536640.0,2010-12-02 11:45:00,United Kingdom
3692,536641.0,2010-12-02 11:46:00,United Kingdom
3694,536643.0,2010-12-02 11:57:00,United Kingdom
3721,536663.0,2010-12-02 12:07:00,United Kingdom
3727,536667.0,2010-12-02 12:09:00,United Kingdom
3743,536670.0,2010-12-02 12:09:00,United Kingdom
3744,536671.0,2010-12-02 12:10:00,United Kingdom
3749,536672.0,2010-12-02 12:10:00,United Kingdom
3753,536673.0,2010-12-02 12:11:00,United Kingdom
3761,536674.0,2010-12-02 12:16:00,United Kingdom
3782,536676.0,2010-12-02 12:18:00,United Kingdom
3791,536681.0,2010-12-02 12:22:00,United Kingdom
3804,536685.0,2010-12-02 12:23:00,United Kingdom
3821,536688.0,2010-12-02 12:24:00,United Kingdom
3823,536690.0,2010-12-02 12:25:00,United Kingdom
3840,536693.0,2010-12-02 12:26:00,United Kingdom
3842,536698.0,2010-12-02 12:28:00,United Kingdom
3858,536707.0,2010-12-02 12:33:00,United Kingdom
3871,536732.0,2010-12-02 12:47:00,United Kingdom
3897,536733.0,2010-12-02 12:50:00,United Kingdom
3913,536735.0,2010-12-02 12:58:00,United Kingdom
3914,536736.0,2010-12-02 12:59:00,United Kingdom
3920,536738.0,2010-12-02 13:06:00,United Kingdom
3927,536739.0,2010-12-02 13:08:00,United Kingdom
3939,536740.0,2010-12-02 13:08:00,United Kingdom
3946,536741.0,2010-12-02 13:11:00,United Kingdom
3961,536742.0,2010-12-02 13:14:00,United Kingdom
4011,536743.0,2010-12-02 13:32:00,United Kingdom
4046,536744.0,2010-12-02 13:36:00,United Kingdom
4056,536745.0,2010-12-02 13:38:00,United Kingdom
4066,536746.0,2010-12-02 13:39:00,United Kingdom
4079,536747.0,2010-12-02 13:44:00,United Kingdom
4091,536748.0,2010-12-02 13:45:00,United Kingdom
4096,536749.0,2010-12-02 13:49:00,United Kingdom
4161,536750.0,2010-12-02 14:04:00,United Kingdom
4180,536751.0,2010-12-02 14:05:00,United Kingdom
4182,536752.0,2010-12-02 14:06:00,United Kingdom
4201,536753.0,2010-12-02 14:07:00,United Kingdom
4203,536754.0,2010-12-02 14:09:00,United Kingdom
4253,536755.0,2010-12-02 14:14:00,United Kingdom
4268,536756.0,2010-12-02 14:23:00,United Kingdom
4289,536759.0,2010-12-02 14:26:00,United Kingdom
4308,536761.0,2010-12-02 14:30:00,United Kingdom
4315,536762.0,2010-12-02 14:40:00,United Kingdom
4335,536763.0,2010-12-02 14:42:00,United Kingdom
4349,536769.0,2010-12-02 14:47:00,United Kingdom
4380,536771.0,2010-12-02 14:49:00,United Kingdom
4387,536777.0,2010-12-02 15:00:00,United Kingdom
4392,536778.0,2010-12-02 15:03:00,United Kingdom
4407,536780.0,2010-12-02 15:09:00,United Kingdom
4411,536781.0,2010-12-02 15:14:00,United Kingdom
4412,536782.0,2010-12-02 15:18:00,United Kingdom
4439,536783.0,2010-12-02 15:19:00,United Kingdom
4477,536784.0,2010-12-02 15:20:00,United Kingdom
4502,536785.0,2010-12-02 15:22:00,United Kingdom
4508,536786.0,2010-12-02 15:23:00,United Kingdom
4510,536787.0,2010-12-02 15:24:00,United Kingdom
4523,536788.0,2010-12-02 15:25:00,United Kingdom
4524,536789.0,2010-12-02 15:25:00,United Kingdom
4526,536790.0,2010-12-02 15:26:00,United Kingdom
4543,536791.0,2010-12-02 15:27:00,United Kingdom
4545,536792.0,2010-12-02 15:28:00,United Kingdom
4546,536793.0,2010-12-02 15:39:00,United Kingdom
4557,536794.0,2010-12-02 15:40:00,United Kingdom
4561,536795.0,2010-12-02 15:40:00,United Kingdom
4568,536796.0,2010-12-02 15:46:00,United Kingdom
4689,536797.0,2010-12-02 15:49:00,United Kingdom
4695,536798.0,2010-12-02 15:55:00,United Kingdom
4726,536799.0,2010-12-02 16:00:00,United Kingdom
4744,536800.0,2010-12-02 16:12:00,United Kingdom
4763,536801.0,2010-12-02 16:12:00,United Kingdom
4777,536802.0,2010-12-02 16:29:00,United Kingdom
4785,536803.0,2010-12-02 16:33:00,EIRE
4786,536804.0,2010-12-02 16:34:00,United Kingdom
4811,536805.0,2010-12-02 16:38:00,United Kingdom
4831,536806.0,2010-12-02 16:42:00,United Kingdom
4838,536808.0,2010-12-02 16:46:00,United Kingdom
4850,536809.0,2010-12-02 16:48:00,United Kingdom
4851,536810.0,2010-12-02 16:50:00,United Kingdom
4852,536811.0,2010-12-02 16:51:00,United Kingdom
4859,536813.0,2010-12-02 16:59:00,United Kingdom
4887,536819.0,2010-12-02 17:12:00,United Kingdom
4908,536821.0,2010-12-02 17:17:00,United Kingdom
4933,536823.0,2010-12-02 17:22:00,United Kingdom
4936,536824.0,2010-12-02 17:24:00,United Kingdom
4945,536830.0,2010-12-02 17:38:00,United Kingdom
4947,536831.0,2010-12-02 17:40:00,United Kingdom
4951,536832.0,2010-12-02 17:41:00,United Kingdom
4959,536833.0,2010-12-02 17:48:00,United Kingdom
4988,536834.0,2010-12-02 17:51:00,United Kingdom
4989,536835.0,2010-12-02 18:06:00,United Kingdom
4990,536836.0,2010-12-02 18:08:00,United Kingdom
5017,536837.0,2010-12-02 18:15:00,United Kingdom
5044,536838.0,2010-12-02 18:23:00,United Kingdom
5047,536839.0,2010-12-02 18:25:00,United Kingdom
5063,536840.0,2010-12-02 18:27:00,Germany
5074,536841.0,2010-12-02 18:27:00,United Kingdom
5096,536842.0,2010-12-02 18:45:00,United Kingdom
5107,536843.0,2010-12-02 18:46:00,United Kingdom
5109,536844.0,2010-12-02 18:49:00,United Kingdom
5112,536845.0,2010-12-02 19:18:00,United Kingdom
5141,536846.0,2010-12-02 19:59:00,United Kingdom
5217,536847.0,2010-12-03 09:31:00,United Kingdom
5226,536848.0,2010-12-03 09:39:00,United Kingdom
5229,536849.0,2010-12-03 09:45:00,United Kingdom
5237,536851.0,2010-12-03 09:49:00,United Kingdom
5252,536852.0,2010-12-03 09:51:00,France
5264,536856.0,2010-12-03 10:26:00,United Kingdom
5303,536857.0,2010-12-03 10:33:00,United Kingdom
5320,536858.0,2010-12-03 10:36:00,Switzerland
5326,536859.0,2010-12-03 10:43:00,United Kingdom
5350,536860.0,2010-12-03 10:43:00,United Kingdom
5360,536861.0,2010-12-03 10:44:00,Germany
5370,536862.0,2010-12-03 11:13:00,United Kingdom
5451,536863.0,2010-12-03 11:19:00,United Kingdom
5499,536864.0,2010-12-03 11:27:00,United Kingdom
5546,536865.0,2010-12-03 11:28:00,United Kingdom
5686,536866.0,2010-12-03 11:28:00,United Kingdom
5687,536874.0,2010-12-03 11:35:00,United Kingdom
5756,536876.0,2010-12-03 11:36:00,United Kingdom
6349,536883.0,2010-12-03 11:41:00,United Kingdom
6350,536884.0,2010-12-03 11:42:00,United Kingdom
6353,536885.0,2010-12-03 11:42:00,EIRE
6364,536890.0,2010-12-03 11:48:00,EIRE
6367,536920.0,2010-12-03 12:01:00,United Kingdom
6377,536938.0,2010-12-03 12:05:00,United Kingdom
6391,536941.0,2010-12-03 12:08:00,United Kingdom
6392,536942.0,2010-12-03 12:08:00,United Kingdom
6393,536943.0,2010-12-03 12:11:00,United Kingdom
6421,536944.0,2010-12-03 12:20:00,Spain
6426,536945.0,2010-12-03 12:24:00,United Kingdom
6492,536946.0,2010-12-03 12:28:00,United Kingdom
6521,536947.0,2010-12-03 12:29:00,United Kingdom
6559,536954.0,2010-12-03 12:41:00,United Kingdom
6560,536956.0,2010-12-03 12:43:00,United Kingdom
6575,536957.0,2010-12-03 12:43:00,United Kingdom
6588,536960.0,2010-12-03 12:48:00,United Kingdom
6603,536967.0,2010-12-03 12:57:00,Germany
6604,536968.0,2010-12-03 13:09:00,United Kingdom
6606,536969.0,2010-12-03 13:10:00,United Kingdom
6607,536970.0,2010-12-03 13:12:00,United Kingdom
6608,536971.0,2010-12-03 13:40:00,Poland
6616,536972.0,2010-12-03 13:42:00,United Kingdom
6630,536973.0,2010-12-03 13:43:00,United Kingdom
6661,536974.0,2010-12-03 13:59:00,France
6677,536975.0,2010-12-03 14:04:00,EIRE
6748,536976.0,2010-12-03 14:18:00,United Kingdom
6767,536977.0,2010-12-03 14:18:00,United Kingdom
6784,536980.0,2010-12-03 14:26:00,United Kingdom
6796,536981.0,2010-12-03 14:26:00,United Kingdom
6820,536982.0,2010-12-03 14:27:00,United Kingdom
6965,536983.0,2010-12-03 14:30:00,Germany
6974,536984.0,2010-12-03 14:35:00,United Kingdom
7003,536985.0,2010-12-03 14:40:00,United Kingdom
7014,536986.0,2010-12-03 14:40:00,United Kingdom
7021,536987.0,2010-12-03 14:54:00,United Kingdom
7074,536988.0,2010-12-03 15:05:00,United Kingdom
7112,536989.0,2010-12-03 15:10:00,United Kingdom
7134,536990.0,2010-12-03 15:14:00,Portugal
7141,536991.0,2010-12-03 15:16:00,United Kingdom
7149,536992.0,2010-12-03 15:16:00,United Kingdom
7150,536993.0,2010-12-03 15:19:00,United Kingdom
7184,536994.0,2010-12-03 15:25:00,United Kingdom
7214,537022.0,2010-12-03 15:45:00,Italy
7238,537023.0,2010-12-03 16:02:00,United Kingdom
7263,537025.0,2010-12-03 16:21:00,United Kingdom
7279,537026.0,2010-12-03 16:35:00,Belgium
7294,537030.0,2010-12-03 16:44:00,United Kingdom
7307,537031.0,2010-12-03 16:45:00,United Kingdom
7314,537034.0,2010-12-03 17:20:00,United Kingdom
7387,537035.0,2010-12-03 17:21:00,United Kingdom
7388,537036.0,2010-12-03 17:28:00,United Kingdom
7419,537037.0,2010-12-05 10:03:00,United Kingdom
7430,537038.0,2010-12-05 10:12:00,United Kingdom
7440,537040.0,2010-12-05 10:27:00,United Kingdom
7442,537041.0,2010-12-05 10:36:00,United Kingdom
7468,537042.0,2010-12-05 10:45:00,United Kingdom
7522,537044.0,2010-12-05 10:52:00,United Kingdom
7541,537045.0,2010-12-05 10:54:00,United Kingdom
7576,537046.0,2010-12-05 10:58:00,United Kingdom
7590,537047.0,2010-12-05 11:02:00,United Kingdom
7631,537048.0,2010-12-05 11:03:00,United Kingdom
7633,537049.0,2010-12-05 11:04:00,United Kingdom
7647,537050.0,2010-12-05 11:10:00,United Kingdom
7698,537051.0,2010-12-05 11:12:00,United Kingdom
7740,537052.0,2010-12-05 11:15:00,United Kingdom
7745,537053.0,2010-12-05 11:38:00,United Kingdom
7748,537054.0,2010-12-05 11:40:00,United Kingdom
7789,537055.0,2010-12-05 11:45:00,United Kingdom
7804,537057.0,2010-12-05 11:49:00,United Kingdom
7855,537058.0,2010-12-05 11:51:00,United Kingdom
7867,537059.0,2010-12-05 11:54:00,United Kingdom
7891,537065.0,2010-12-05 11:57:00,France
7954,537067.0,2010-12-05 11:57:00,United Kingdom
7960,537077.0,2010-12-05 11:59:00,United Kingdom
7986,537081.0,2010-12-05 12:00:00,Lithuania
8011,537086.0,2010-12-05 12:01:00,Lithuania
8019,537090.0,2010-12-05 12:02:00,Lithuania
8020,537111.0,2010-12-05 12:08:00,United Kingdom
8043,537117.0,2010-12-05 12:09:00,United Kingdom
8044,537126.0,2010-12-05 12:13:00,United Kingdom
8162,537127.0,2010-12-05 12:13:00,United Kingdom
8164,537128.0,2010-12-05 12:15:00,United Kingdom
8187,537129.0,2010-12-05 12:15:00,United Kingdom
8204,537130.0,2010-12-05 12:23:00,United Kingdom
8223,537131.0,2010-12-05 12:26:00,United Kingdom
8261,537133.0,2010-12-05 12:29:00,United Kingdom
8322,537134.0,2010-12-05 12:34:00,United Kingdom
8331,537135.0,2010-12-05 12:35:00,United Kingdom
8448,537136.0,2010-12-05 12:42:00,United Kingdom
8485,537137.0,2010-12-05 12:43:00,United Kingdom
8551,537138.0,2010-12-05 12:44:00,United Kingdom
8584,537139.0,2010-12-05 12:47:00,United Kingdom
8587,537140.0,2010-12-05 12:53:00,United Kingdom
8626,537141.0,2010-12-05 12:57:00,United Kingdom
8670,537142.0,2010-12-05 12:57:00,United Kingdom
8686,537144.0,2010-12-05 13:00:00,United Kingdom
8791,537153.0,2010-12-05 13:03:00,United Kingdom
8836,537154.0,2010-12-05 13:05:00,United Kingdom
8900,537155.0,2010-12-05 13:05:00,United Kingdom
8933,537156.0,2010-12-05 13:08:00,United Kingdom
8953,537158.0,2010-12-05 13:10:00,United Kingdom
8963,537159.0,2010-12-05 13:17:00,United Kingdom
8991,537160.0,2010-12-05 13:18:00,United Kingdom
9017,537163.0,2010-12-05 13:21:00,United Kingdom
9039,537176.0,2010-12-05 13:26:00,United Kingdom
9060,537179.0,2010-12-05 13:29:00,United Kingdom
9073,537192.0,2010-12-05 13:42:00,United Kingdom
9130,537193.0,2010-12-05 13:49:00,United Kingdom
9167,537194.0,2010-12-05 13:53:00,United Kingdom
9168,537195.0,2010-12-05 13:55:00,United Kingdom
9201,537196.0,2010-12-05 13:55:00,United Kingdom
9287,537197.0,2010-12-05 14:02:00,Germany
9304,537198.0,2010-12-05 14:03:00,Germany
9306,537199.0,2010-12-05 14:06:00,United Kingdom
9344,537200.0,2010-12-05 14:17:00,United Kingdom
9373,537201.0,2010-12-05 14:19:00,Germany
9443,537202.0,2010-12-05 14:25:00,United Kingdom
9495,537204.0,2010-12-05 14:45:00,United Kingdom
9527,537205.0,2010-12-05 14:52:00,United Kingdom
9538,537206.0,2010-12-05 15:02:00,United Kingdom
9542,537207.0,2010-12-05 15:06:00,United Kingdom
9565,537208.0,2010-12-05 15:12:00,United Kingdom
9631,537209.0,2010-12-05 15:12:00,United Kingdom
9673,537210.0,2010-12-05 15:15:00,United Kingdom
9689,537211.0,2010-12-05 15:18:00,United Kingdom
9705,537212.0,2010-12-05 15:21:00,Germany
9735,537213.0,2010-12-05 15:26:00,United Kingdom
9741,537214.0,2010-12-05 15:35:00,United Kingdom
9754,537215.0,2010-12-05 15:38:00,United Kingdom
9761,537216.0,2010-12-05 15:40:00,United Kingdom
9779,537217.0,2010-12-05 15:40:00,United Kingdom
9783,537218.0,2010-12-05 15:46:00,Japan
9799,537219.0,2010-12-05 15:47:00,United Kingdom
9868,537220.0,2010-12-05 15:49:00,United Kingdom
9869,537221.0,2010-12-05 15:54:00,United Kingdom
9876,537222.0,2010-12-05 16:00:00,United Kingdom
9902,537223.0,2010-12-05 16:10:00,United Kingdom
9911,537224.0,2010-12-05 16:24:00,United Kingdom
10080,537225.0,2010-12-05 16:41:00,United Kingdom
10144,537226.0,2010-12-06 08:34:00,United Kingdom
10153,537227.0,2010-12-06 08:42:00,United Kingdom
10173,537228.0,2010-12-06 08:43:00,United Kingdom
10174,537229.0,2010-12-06 08:44:00,United Kingdom
10175,537230.0,2010-12-06 09:20:00,United Kingdom
10176,537231.0,2010-12-06 09:21:00,United Kingdom
10195,537233.0,2010-12-06 09:37:00,United Kingdom
10205,537235.0,2010-12-06 09:45:00,United Kingdom
10210,537236.0,2010-12-06 09:52:00,United Kingdom
10220,537237.0,2010-12-06 09:58:00,United Kingdom
10817,537238.0,2010-12-06 10:03:00,United Kingdom
10832,537239.0,2010-12-06 10:05:00,United Kingdom
10845,537240.0,2010-12-06 10:08:00,United Kingdom
11413,537241.0,2010-12-06 10:18:00,United Kingdom
11428,537242.0,2010-12-06 10:19:00,United Kingdom
11457,537243.0,2010-12-06 10:19:00,United Kingdom
11459,537244.0,2010-12-06 10:20:00,United Kingdom
11470,537245.0,2010-12-06 10:24:00,United Kingdom
11473,537246.0,2010-12-06 10:27:00,Portugal
11480,537247.0,2010-12-06 10:34:00,United Kingdom
11483,537248.0,2010-12-06 10:36:00,United Kingdom
11487,537249.0,2010-12-06 10:38:00,United Kingdom
11488,537250.0,2010-12-06 10:43:00,Germany
11522,537252.0,2010-12-06 10:46:00,United Kingdom
11523,537253.0,2010-12-06 10:53:00,United Kingdom
11547,537254.0,2010-12-06 11:01:00,United Kingdom
11606,537255.0,2010-12-06 11:03:00,United Kingdom
11626,537256.0,2010-12-06 11:06:00,United Kingdom
11637,537257.0,2010-12-06 11:10:00,United Kingdom
11646,537258.0,2010-12-06 11:16:00,United Kingdom
11656,537262.0,2010-12-06 11:26:00,United Kingdom
11712,537265.0,2010-12-06 11:26:00,United Kingdom
11761,537298.0,2010-12-06 11:37:00,United Kingdom
11770,537301.0,2010-12-06 11:38:00,United Kingdom
11785,537312.0,2010-12-06 11:42:00,United Kingdom
11794,537313.0,2010-12-06 11:42:00,United Kingdom
11801,537332.0,2010-12-06 11:58:00,United Kingdom
11814,537334.0,2010-12-06 12:06:00,United Kingdom
11858,537335.0,2010-12-06 12:15:00,United Kingdom
11881,537346.0,2010-12-06 12:21:00,United Kingdom
11915,537350.0,2010-12-06 12:23:00,United Kingdom
11927,537351.0,2010-12-06 12:23:00,United Kingdom
11959,537354.0,2010-12-06 12:23:00,United Kingdom
11997,537359.0,2010-12-06 12:30:00,United Kingdom
12007,537360.0,2010-12-06 12:31:00,United Kingdom
12009,537362.0,2010-12-06 12:34:00,United Kingdom
12071,537365.0,2010-12-06 12:38:00,United Kingdom
12092,537366.0,2010-12-06 12:39:00,United Kingdom
12104,537367.0,2010-12-06 12:39:00,United Kingdom
12105,537368.0,2010-12-06 12:40:00,EIRE
12120,537369.0,2010-12-06 12:41:00,United Kingdom
12178,537370.0,2010-12-06 12:44:00,United Kingdom
12230,537371.0,2010-12-06 12:47:00,United Kingdom
12244,537372.0,2010-12-06 12:52:00,United Kingdom
12266,537374.0,2010-12-06 12:55:00,United Kingdom
12353,537375.0,2010-12-06 12:55:00,United Kingdom
12403,537376.0,2010-12-06 12:59:00,United Kingdom
12419,537377.0,2010-12-06 13:01:00,United Kingdom
12433,537378.0,2010-12-06 13:06:00,EIRE
12453,537380.0,2010-12-06 13:12:00,United Kingdom
12456,537381.0,2010-12-06 13:13:00,United Kingdom
12480,537382.0,2010-12-06 13:13:00,United Kingdom
12541,537384.0,2010-12-06 13:21:00,United Kingdom
12546,537385.0,2010-12-06 13:22:00,United Kingdom
12559,537386.0,2010-12-06 13:32:00,EIRE
12560,537387.0,2010-12-06 13:34:00,United Kingdom
12574,537388.0,2010-12-06 13:35:00,United Kingdom
12592,537389.0,2010-12-06 13:41:00,United Kingdom
12611,537390.0,2010-12-06 13:47:00,United Kingdom
12619,537391.0,2010-12-06 13:53:00,United Kingdom
12667,537392.0,2010-12-06 13:58:00,United Kingdom
12691,537393.0,2010-12-06 13:59:00,United Kingdom
12725,537394.0,2010-12-06 14:00:00,United Kingdom
12730,537395.0,2010-12-06 14:05:00,United Kingdom
12783,537396.0,2010-12-06 14:08:00,United Kingdom
12813,537397.0,2010-12-06 14:19:00,United Kingdom
12824,537399.0,2010-12-06 14:31:00,United Kingdom
12884,537400.0,2010-12-06 14:36:00,United Kingdom
